title,release_year,genre,director,description,average_rating
Film 1,2023,Romantik,Alfred Hitchcock,Bu film TV Film türünde bir başyapıttır.,8.1
Film 2,2001,Fantastik,Martin Scorsese,Bu film Savaş türünde bir başyapıttır.,4.6
Film 3,2004,Korku,Alfred Hitchcock,Bu film Tarih türünde bir başyapıttır.,2.0
Film 4,2010,Bilim Kurgu,Wes Anderson,Bu film Suç türünde bir başyapıttır.,2.6
Film 5,1997,Fantastik,David Fincher,Bu film Drama türünde bir başyapıttır.,8.8
Film 6,2014,Komedi,David Fincher,Bu film Aile türünde bir başyapıttır.,5.5
Film 7,2007,Macera,Wes Anderson,Bu film Gerilim türünde bir başyapıttır.,9.9
Film 8,1994,Savaş,Martin Scorsese,Bu film Aksiyon türünde bir başyapıttır.,4.4
Film 9,2017,Aksiyon,James Cameron,Bu film Gizem türünde bir başyapıttır.,4.8
Film 10,2005,Korku,Wes Anderson,Bu film Fantastik türünde bir başyapıttır.,5.1
Film 11,2022,Animasyon,Steven Spielberg,Bu film Korku türünde bir başyapıttır.,1.6
Film 12,2002,Belgesel,David Fincher,Bu film Savaş türünde bir başyapıttır.,10.0
Film 13,2001,Belgesel,Alfred Hitchcock,Bu film Gerilim türünde bir başyapıttır.,5.4
Film 14,1991,Tarih,Alfred Hitchcock,Bu film Romantik türünde bir başyapıttır.,5.4
Film 15,2001,Romantik,Alfred Hitchcock,Bu film Macera türünde bir başyapıttır.,8.3
Film 16,1992,Aile,James Cameron,Bu film Gizem türünde bir başyapıttır.,4.3
Film 17,2013,Aile,Steven Spielberg,Bu film TV Film türünde bir başyapıttır.,9.0
Film 18,2006,TV Film,Martin Scorsese,Bu film Komedi türünde bir başyapıttır.,5.3
Film 19,1999,Savaş,Steven Spielberg,Bu film Fantastik türünde bir başyapıttır.,9.3
Film 20,2004,Animasyon,Martin Scorsese,Bu film Belgesel türünde bir başyapıttır.,7.3
Film 21,1995,Korku,Ridley Scott,Bu film Fantastik türünde bir başyapıttır.,5.9
Film 22,2020,Aile,Wes Anderson,Bu film Tarih türünde bir başyapıttır.,5.1
Film 23,2012,Müzik,James Cameron,Bu film Suç türünde bir başyapıttır.,3.9
Film 24,2006,Macera,Christopher Nolan,Bu film Aksiyon türünde bir başyapıttır.,9.1
Film 25,2013,Western,Quentin Tarantino,Bu film Macera türünde bir başyapıttır.,1.7
Film 26,2020,Romantik,Steven Spielberg,Bu film Gizem türünde bir başyapıttır.,8.9
Film 27,1997,Romantik,Christopher Nolan,Bu film Komedi türünde bir başyapıttır.,4.6
Film 28,2007,TV Film,Christopher Nolan,Bu film Tarih türünde bir başyapıttır.,6.4
Film 29,2002,Komedi,James Cameron,Bu film Aile türünde bir başyapıttır.,5.2
Film 30,1999,Bilim Kurgu,Alfred Hitchcock,Bu film Gerilim türünde bir başyapıttır.,6.4
Film 31,1999,Savaş,Martin Scorsese,Bu film Gerilim türünde bir başyapıttır.,9.7
Film 32,2014,Gizem,Ridley Scott,Bu film Western türünde bir başyapıttır.,2.9
Film 33,1991,Macera,Ridley Scott,Bu film Tarih türünde bir başyapıttır.,8.4
Film 34,2008,TV Film,David Fincher,Bu film Aile türünde bir başyapıttır.,1.0
Film 35,2019,Suç,Wes Anderson,Bu film Aile türünde bir başyapıttır.,1.3
Film 36,1992,Tarih,Alfred Hitchcock,Bu film Romantik türünde bir başyapıttır.,6.0
Film 37,2007,Fantastik,Wes Anderson,Bu film Savaş türünde bir başyapıttır.,7.7
Film 38,2019,Romantik,James Cameron,Bu film Animasyon türünde bir başyapıttır.,2.5
Film 39,2001,Savaş,James Cameron,Bu film Drama türünde bir başyapıttır.,9.7
Film 40,2022,Macera,Ridley Scott,Bu film Komedi türünde bir başyapıttır.,3.3
Film 41,2012,Korku,Ridley Scott,Bu film Komedi türünde bir başyapıttır.,7.2
Film 42,1997,Western,Steven Spielberg,Bu film Aile türünde bir başyapıttır.,9.4
Film 43,1999,Aile,Martin Scorsese,Bu film Gizem türünde bir başyapıttır.,6.0
Film 44,1991,Gerilim,James Cameron,Bu film Gerilim türünde bir başyapıttır.,7.4
Film 45,2005,Macera,Steven Spielberg,Bu film Gizem türünde bir başyapıttır.,4.5
